타임스탬프,"Enter your nickname
To avoid duplicate nicknames,
please add your birth month and day (MMDD) after your nickname.


닉네임을 입력해 주세요

중복을 피하기 위해,
닉네임 뒤에 본인의 생월·일(MMDD) 을 붙여 주세요.

Example:
PimsFan_0321","Choose the column (alphabet) 
둘 위치의 열(알파벳)을 선택해 주세요  ","Choose the row (number)
둘 위치의 행(숫자)을 선택해 주세요"
2025. 11. 28 오후 8:16:49,CZ_1103,A,1
2025. 11. 28 오후 8:16:50,lch_0317_0317,F,2
2025. 12. 14 오후 4:14:13,Qq,A,2
2025. 12. 14 오후 4:14:26,Rr,B,5
2025. 12. 14 오후 4:14:37,Ww,A,1
2025. 12. 14 오후 4:14:51,Th,A,1
2025. 12. 14 오후 4:15:00,Rf,A,1
2025. 12. 14 오후 4:15:09,Uu,E,3
2025. 12. 14 오후 4:15:22,Uui,G,5
2025. 12. 14 오후 4:15:36,Qqe,H,5
2025. 12. 14 오후 4:15:49,Ryy,H,5
2025. 12. 14 오후 4:16:07,Yuiq,H,5
2025. 12. 14 오후 4:16:50,Thjj,D,4
2025. 12. 14 오후 4:17:04,Yhjqw,D,4
2025. 12. 14 오후 4:17:20,Ghhj,D,4
2025. 12. 14 오후 4:17:30,Dhsks,D,4
2025. 12. 14 오후 4:17:42,Bjjk,D,4
2025. 12. 14 오후 4:17:51,Jol,D,4
2025. 12. 14 오후 4:18:02,Nkk,D,4